"","class","check.isCheckAbove","check.GDIThreshold","check.maxRatioBeyond","check.maxRankBeyond","check.fractionBeyond","check.thresholdRank","check.quantileAtRatio","check.quantileAtRank","isUniform","clusterSize"
"01_02-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.39906699368582,NaN,TRUE,283
"-1_06-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,2.45376245325116,NaN,FALSE,303
"08_09-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.36782597373569,NaN,TRUE,302
"07_09-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.34144757329459,NaN,TRUE,259
"08_12-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.43704417978534,NaN,FALSE,491
"07_08-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.36962633989169,NaN,TRUE,243
"19_20-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.43250861263465,NaN,FALSE,278
"09_24-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.38181211374973,NaN,TRUE,424
"12_13-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.40630637705823,NaN,FALSE,427
"15_16-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.43086101702961,NaN,FALSE,525
"11_12-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.40076306838752,NaN,FALSE,460
"11_13-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.36451351215221,NaN,TRUE,191
"07_12-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.39702447586928,NaN,TRUE,448
"09_16-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.37681095136353,NaN,TRUE,346
"19_22-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.46306145670176,NaN,FALSE,201
"10_11-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.39349272222925,NaN,TRUE,172
"08_16-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.39092949953881,NaN,TRUE,330
"20_21-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.43094310680317,NaN,FALSE,211
"10_13-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.36493992602453,NaN,TRUE,139
"20_25-merge","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,1.38416960523071,NaN,TRUE,271
